Starting btcd command is [./satsnet_btcd_l --homedir /data/satsnet2/data --txindex]
Satsnet directory is  /data/satsnet2/data
homeBtcdDir is  /data/satsnet2/data/btcd
configFile is  /data/satsnet2/data/btcd/btcd.conf
dataDir is  /data/satsnet2/data/btcd/data
rpcKeyFile is  /data/satsnet2/data/btcd/rpc.key
rpcCertFile is  /data/satsnet2/data/btcd/rpc.cert
logDir is  /data/satsnet2/data/btcd/logs
2024-12-16 14:11:32.477 [INF] BTCD: Version 0.24.2-beta
2024-12-16 14:11:32.477 [INF] BTCD: Loading block database from '/data/satsnet2/data/btcd/data/satstestnet/blocks_ffldb'
2024-12-16 14:11:32.477 [INF] BTCD: Profile server listening on :14836
2024-12-16 14:11:32.477 [ERR] BTCD: listen tcp :14836: bind: address already in use
2024-12-16 14:11:32.742 [INF] BTCD: Block database loaded
2024-12-16 14:11:32.742 [DBG] ANCH: AnchorConfig: IndexerHost: 
2024-12-16 14:11:32.742 [DBG] ANCH: AnchorConfig: IndexerNet: 
2024-12-16 14:11:32.742 [DBG] ANCH: AnchorConfig: ChainParams: satstestnet
2024-12-16 14:11:32.742 [DBG] ANCH: The node not config indexer infomation, will not check anchor tx
2024-12-16 14:11:32.743 [DBG] ANCH: Waiting next timer for syncing super node list...
2024-12-16 14:11:32.746 [INF] INDX: Transaction index is enabled
2024-12-16 14:11:32.746 [INF] INDX: Committed filter index is enabled
2024-12-16 14:11:32.746 [INF] CHAN: Pre-alloacting for 251 MiB
2024-12-16 14:11:32.747 [INF] CHAN: Loading block index...
2024-12-16 14:11:32.747 [DBG] CHAN: block 0: Hash[df1b68044e43e1577066e21f95d672f4b5aa4793af8cb9b2bb1c3999ebb63a21],  Time[2024-12-02 18:41:52]
2024-12-16 14:11:32.747 [DBG] CHAN: block 1: Hash[c637d4ec1eab5d28f640884085b30a84c029ea11fdeffe5b88be6432ff53b39d],  Time[2024-12-03 11:02:18]
2024-12-16 14:11:32.747 [DBG] CHAN: block 2: Hash[cc6d2efbec9792985894c83cb10b4315719cb9fba2dd0e04734e8aec7492bbdb],  Time[2024-12-03 11:20:54]
2024-12-16 14:11:32.747 [DBG] CHAN: block 3: Hash[5d2cffd29005647d364898a47ce26e2a1e6b7779d9e81b721ed078790f66d8f6],  Time[2024-12-03 16:49:07]
2024-12-16 14:11:32.747 [DBG] CHAN: block 4: Hash[8615c36f8cc260cca48599415c27ecd5dc39179078099e436bea5bba78178b4c],  Time[2024-12-09 18:28:47]
2024-12-16 14:11:32.747 [DBG] CHAN: block 5: Hash[eefc983e253d0e4a1314b7c7819ba75497131277a2d0cf78b3d8af10854e5a5a],  Time[2024-12-09 19:43:47]
2024-12-16 14:11:32.747 [DBG] CHAN: block 6: Hash[0dc4a50cd04d428b0c1e43893af28db42b46b7d7238531e40d6efe170ee11a5d],  Time[2024-12-10 09:18:11]
2024-12-16 14:11:32.747 [DBG] CHAN: block 7: Hash[19738ccd451b23458405ff32af510475a23c3c7855704e5a59d16bf3aa2540c7],  Time[2024-12-10 09:53:35]
2024-12-16 14:11:32.747 [DBG] CHAN: block 8: Hash[03f3a9dbfd496379d36a51b5ed45eee30f008828bb77e652ae6acd3105b69e09],  Time[2024-12-10 15:35:47]
2024-12-16 14:11:32.747 [DBG] CHAN: block 9: Hash[b4905a3c2a6590dccfb8b0b708347de00d8002b9b7d0eefc3787ddda5ac013fd],  Time[2024-12-10 17:58:18]
2024-12-16 14:11:32.747 [DBG] CHAN: block 10: Hash[12ac1fc61930d95a70e336375d6e37b572b4e11eda733dd8502570183c8f80e0],  Time[2024-12-11 10:48:12]
2024-12-16 14:11:32.747 [DBG] CHAN: block 11: Hash[1deec84bb4c122db7dbe1e3e4ed9b3e8cf216ac540321bcfae6eeaf076fd7ea8],  Time[2024-12-11 10:50:24]
2024-12-16 14:11:32.747 [DBG] CHAN: block 12: Hash[4e272dc75f0fe63e84ade6ff83463107ff513135654771de1453188504bcf212],  Time[2024-12-11 11:07:38]
2024-12-16 14:11:32.747 [DBG] CHAN: block 13: Hash[74f15f6869f109150c9189d1cf39c16a6213555f9ee6a3ea74d36487f822331c],  Time[2024-12-11 11:07:50]
2024-12-16 14:11:32.747 [DBG] CHAN: block 14: Hash[11ed58defbfa4967bfc946a41b408b7d0edda88ed1ce6213cd9415a9aed6728d],  Time[2024-12-11 14:46:03]
2024-12-16 14:11:32.747 [DBG] CHAN: block 15: Hash[75621019611564abf89dc89eaa0553199428123890e83144bab1c49f9fc08d43],  Time[2024-12-11 17:45:52]
2024-12-16 14:11:32.747 [DBG] CHAN: block 16: Hash[5db1320c9af6e87eb5964a42f8f328c2b349a8ca6f8f165e6001caa6456430b7],  Time[2024-12-11 17:46:04]
2024-12-16 14:11:32.747 [DBG] CHAN: block 17: Hash[5ca41f481d226b2f9cc9747e97a9b1a898586e3b7bdb1c0f1375bba411f38616],  Time[2024-12-11 17:47:28]
2024-12-16 14:11:32.747 [DBG] CHAN: block 18: Hash[1127f93a9c4e8d5a4b4ec728ef72e7e2140e6c1eb42a8d478d85d80c0f17a75f],  Time[2024-12-11 18:35:52]
2024-12-16 14:11:32.747 [DBG] CHAN: block 19: Hash[c1f5d69d88470a531eb5a79a01c4e3eeef0b017a630f2a6119c6ef67c3a6fba4],  Time[2024-12-11 18:37:28]
2024-12-16 14:11:32.747 [DBG] CHAN: block 20: Hash[2e54ec678790bc1c2603bda4856f173efa5ecf8037ea9f61a663a4a8fb271e1f],  Time[2024-12-11 20:21:16]
2024-12-16 14:11:32.747 [DBG] CHAN: block 21: Hash[efc93fa22578493582c423a382a7d31650645906153dd5f5228197645d6bd9e8],  Time[2024-12-12 12:06:03]
2024-12-16 14:11:32.747 [DBG] CHAN: block 22: Hash[2868efe66b1581dbae5dfe53f76232dc5264b4c18e2f3418c26946e9435fda0f],  Time[2024-12-12 12:08:27]
2024-12-16 14:11:32.747 [DBG] CHAN: block 23: Hash[55ea0d94d3aada27a3420b02ed44231e7e10c10e8a73313f997c11838f3ccb87],  Time[2024-12-12 14:08:15]
2024-12-16 14:11:32.747 [DBG] CHAN: block 24: Hash[5704dc03e3cbffb43dd28b22fe0f89a7c3515a68ea37f4570b24225ef660b259],  Time[2024-12-12 14:11:03]
2024-12-16 14:11:32.747 [DBG] CHAN: block 25: Hash[cf4397f11931953a78af24f5336d84108ef23d1b6f77e5e641b8b5d558497f9e],  Time[2024-12-12 14:21:03]
2024-12-16 14:11:32.747 [DBG] CHAN: block 26: Hash[81e954910e5d3b27b503ca1f52903d0bfb3bb9717b131e0f0ccb97970bfb41fc],  Time[2024-12-12 14:22:15]
2024-12-16 14:11:32.747 [DBG] CHAN: block 27: Hash[c1723cc1a291bfed688221c2aef25488dfe9b494bc0ed20a42fac6f553f17a15],  Time[2024-12-12 14:31:39]
2024-12-16 14:11:32.747 [DBG] CHAN: block 28: Hash[793c8b7e514dc5bd947cb3aa860b6a38dcf1471707d3ae55e211e052d6f8565d],  Time[2024-12-12 17:09:43]
2024-12-16 14:11:32.747 [DBG] CHAN: block 29: Hash[613e0d8569163185e0ac622984de263206139b69963aee3a023b29731f79b5ef],  Time[2024-12-12 18:10:19]
2024-12-16 14:11:32.747 [DBG] CHAN: block 30: Hash[583b7cb20a114590d0f23e3e6b68b2fb5e3514c9be923dc1601d91845e9997f8],  Time[2024-12-12 18:40:09]
2024-12-16 14:11:32.748 [DBG] CHAN: block 31: Hash[96eb6cccfe724068a4d0092c0de01a66fb2287b1f302409bbb626bdd46f5ffa1],  Time[2024-12-13 10:33:33]
2024-12-16 14:11:32.748 [DBG] CHAN: block 32: Hash[202b846a270b82b0c73f0234eb19836db05402471a07094dede3ea2926c0062f],  Time[2024-12-13 10:46:33]
2024-12-16 14:11:32.748 [DBG] CHAN: block 33: Hash[5bb1090df3ecb29714e29fc6a491618dc3fd30998c880e9d40ec28877e923ac9],  Time[2024-12-13 10:49:09]
2024-12-16 14:11:32.748 [DBG] CHAN: block 34: Hash[54157df5580ea5c3d8fe45dcc63d0f14961940e3e07a314fbda0564fd0cf37e5],  Time[2024-12-13 10:52:57]
2024-12-16 14:11:32.748 [DBG] CHAN: block 35: Hash[4936756de084ca8a0b6f2a2dcac62326fe1c54832fc6778f6de8d02745c056be],  Time[2024-12-13 10:53:33]
2024-12-16 14:11:32.748 [DBG] CHAN: block 36: Hash[7328a20c3b3b2c7c2a27d0c47badaad46acca33b9901a54a1bd15d116e56ec11],  Time[2024-12-13 10:55:57]
2024-12-16 14:11:32.748 [DBG] CHAN: block 37: Hash[0d7eda5bd410ecb60ca12e2d06445361489d85b7edf368a99cc07690f1cc5f1b],  Time[2024-12-13 10:58:33]
2024-12-16 14:11:32.748 [DBG] CHAN: block 38: Hash[72b0c875925d7ad0bee46f43ce3fbb6019462dbfd54d7020c04ff7e66a9ead5b],  Time[2024-12-13 11:07:45]
2024-12-16 14:11:32.748 [DBG] CHAN: block 39: Hash[4dc8c7670e078b46a6a5a0b232e8489c634fdf2bdb17958f3ca91b028138634b],  Time[2024-12-13 12:12:45]
2024-12-16 14:11:32.748 [DBG] CHAN: block 40: Hash[fd1d7cf2676728be5f93086b05765697066921f01e9277642bc71c56aba511fa],  Time[2024-12-13 19:02:05]
2024-12-16 14:11:32.748 [DBG] CHAN: block 41: Hash[aa7488058a05a0e423bd5c64c9857716617823e9c8a88575878444444eea7dcf],  Time[2024-12-14 17:23:17]
2024-12-16 14:11:32.748 [DBG] CHAN: block 42: Hash[324dcc7be835721f200b24f4fa6b7436bc8fe51b0383cd88707a3d020cf0f03a],  Time[2024-12-14 18:16:41]
2024-12-16 14:11:32.748 [DBG] CHAN: block 43: Hash[86b7b909aad3c17bd92dfde6ae85c9f86e0542f4c9c9c2bd331f2167ca68609a],  Time[2024-12-14 20:07:53]
2024-12-16 14:11:32.748 [DBG] CHAN: block 44: Hash[3bbaa61f05cceeff8d7bcb9973315c4be8e0d83f356f95acaadcc937620723c4],  Time[2024-12-14 23:34:29]
2024-12-16 14:11:32.748 [DBG] CHAN: block 45: Hash[0108d5dea126f6a1d8c81e91eb775a3e73f3c317de76f6b4fbc198ecc369b895],  Time[2024-12-14 23:34:53]
2024-12-16 14:11:32.748 [DBG] CHAN: block 46: Hash[7c9760ca4d482117118f7ff458d9820458780040376888e84c0ec4871855f75f],  Time[2024-12-14 23:41:17]
2024-12-16 14:11:32.748 [DBG] CHAN: block 47: Hash[609822f9c2ea90e52c14dfe1c76e708315cf1782b6411768d797385d710fda2d],  Time[2024-12-14 23:44:05]
